,station,latitude,longitude,elevation,depth
532,34A1,41.838657944,-119.653981023,1907.6772305,100.0
533,34A2,41.853117623,-119.60736388,1862.7794329,100.0
534,34A3,41.850735284,-119.577144252,1831.9474092,100.0
535,34A4,41.866601713,-119.494824975,1708.2157259,100.0
536,34NO,41.92914171,-119.708564875,1768.9731181,100.0
537,34SO,41.805874401,-119.706839385,1705.8902813,100.0
686,ABBY,49.072141046,-122.197802579,195.2803939,82.18802933673297
731,ABOT,49.029436497,-122.266569808,-4.0091647,78.92799294497459
745,ABRN,42.760741791,-120.100255173,1370.4842784,100.0
880,ADLL,42.196394973,-120.006710894,1545.8641693,100.0
915,AGNS,42.55276485,-124.059113708,51.3683661,20.147109566858784
987,AL2H,48.389780311,-123.487471726,31.7503964,37.48195326441949
1021,ALB4,48.389739572,-123.487687455,30.8906367,37.47920236840663
1026,ALBH,48.389781422,-123.487470112,31.7682625,37.481982231747
1194,ANAT,46.13286448,-117.135427403,1087.3003975,100.0
1258,ANTB,39.847881188,-117.370883675,1647.6170501,100.0
1260,ANTE,40.145912836,-118.167286438,1445.1147266,100.0
1266,ANTV,39.642525323,-120.28131807,1681.0612545,100.0
1381,ARLI,48.174067086,-122.141859552,23.2862091,58.92308251948808
1383,ARLN,45.708205802,-120.183269563,120.379725,100.0
1446,ASBU,43.82056507,-121.368506504,1508.8651969,86.40477966715416
1457,ASHL,42.180690735,-122.670169066,608.7265364,55.61635676959751
1474,AST1,39.39026138,-117.308367859,1760.0700209,100.0
1475,AST2,39.390432607,-117.308597661,1760.299987,100.0
1767,BAMF,48.835329253,-125.135104681,10.7466224,28.327250137085038
1768,BAMO,40.412750001,-117.204566,1792.4699856,100.0
1811,BASQ,42.411604556,-117.863031157,1348.6063937,100.0
1825,BATT,40.515922159,-117.208889232,1505.9367219,100.0
1841,BBAY,48.899077027,-122.769470373,-8.2125175,60.145327514856874
1848,BBUT,41.438766957,-118.294999004,1264.9319692,100.0
1850,BCAB,49.052173767,-122.329538238,72.7033674,77.69698003471918
1852,BCBU,49.251391241,-123.000194127,13.0048882,64.47263635934287
1855,BCCG,49.311892645,-117.65304565,443.6729268,100.0
